Country Name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country Code_x,Life Expectancy,Code,Health Expenditure (% GDP),Country Code_y,OOP Expenditure,Country Code,Current Health Expenditure
Israel,2016,7.159,10.56,0.89,71.95,0.772,0.147,0.804,0.602,0.263,ISR,82.4073170731707,ISR,4.536,ISR,648.0,ISR,2840.0
Israel,2017,7.331,10.583,0.916,72.1,0.768,0.138,0.793,0.621,0.276,ISR,82.5512195121951,ISR,4.623,ISR,666.0,ISR,2968.0
Israel,2018,6.927,10.603,0.91,72.25,0.725,0.048,0.77,0.612,0.282,ISR,82.8024390243903,ISR,4.712,ISR,667.0,ISR,3055.0
Israel,2019,7.332,10.625,0.946,72.4,0.834,0.078,0.743,0.598,0.266,ISR,82.8048780487805,ISR,4.832,ISR,660.0,ISR,3089.0
Israel,2020,7.195,10.589,0.959,72.55,0.831,-0.059,0.748,0.564,0.243,ISR,82.6487804878049,ISR,5.893,ISR,656.0,ISR,3262.0
Italy,2015,5.848,10.603,0.909,71.6,0.575,-0.07,0.913,0.646,0.329,ITA,82.5439024390244,ITA,6.593,ITA,766.0,ITA,3265.0
Italy,2016,5.955,10.617,0.927,71.675,0.624,-0.086,0.903,0.632,0.339,ITA,83.2439024390244,ITA,6.492,ITA,812.0,ITA,3482.0
Italy,2017,6.199,10.635,0.92,71.75,0.633,-0.041,0.867,0.613,0.323,ITA,82.9463414634147,ITA,6.399,ITA,858.0,ITA,3605.0
Italy,2018,6.517,10.647,0.913,71.825,0.65,-0.027,0.888,0.598,0.403,ITA,83.3463414634146,ITA,6.413,ITA,879.0,ITA,3733.0
Italy,2019,6.445,10.663,0.838,71.9,0.709,-0.088,0.866,0.569,0.328,ITA,83.4975609756098,ITA,6.384,ITA,929.0,ITA,3959.0
Italy,2020,6.488,10.574,0.89,71.975,0.718,-0.157,0.844,0.614,0.311,ITA,82.1951219512195,ITA,7.329,ITA,888.0,ITA,4138.0
Italy,2021,6.467,10.647,0.886,72.05,0.703,-0.096,0.862,0.634,0.318,ITA,82.6463414634146,ITA,7.145,ITA,957.0,ITA,4372.0
Japan,2015,5.88,10.607,0.923,73.6,0.832,-0.162,0.654,0.702,0.176,JPN,83.7939024390244,JPN,9.039,JPN,569.0,JPN,4393.0
Japan,2016,5.955,10.615,0.9,73.725,0.836,-0.069,0.698,0.69,0.192,JPN,83.9848780487805,JPN,8.957,JPN,557.0,JPN,4330.0
Japan,2017,5.911,10.632,0.882,73.85,0.849,-0.213,0.659,0.692,0.176,JPN,84.099756097561,JPN,8.974,JPN,560.0,JPN,4427.0
Japan,2018,5.794,10.64,0.886,73.975,0.773,-0.268,0.687,0.649,0.185,JPN,84.2109756097561,JPN,9.002,JPN,591.0,JPN,4546.0
Japan,2019,5.908,10.637,0.878,74.1,0.806,-0.261,0.617,0.693,0.194,JPN,84.3563414634146,JPN,9.201,JPN,602.0,JPN,4668.0
Japan,2020,6.118,10.596,0.887,74.225,0.806,-0.266,0.609,0.681,0.186,JPN,84.56,JPN,9.28,JPN,552.0,JPN,4625.0
Latvia,2015,5.881,10.19,0.879,65.8,0.656,-0.084,0.808,0.559,0.228,LVA,74.4804878048781,LVA,3.315,LVA,569.0,LVA,1405.0
Latvia,2016,5.94,10.222,0.917,65.9,0.685,-0.163,0.868,0.583,0.231,LVA,74.580487804878,LVA,3.426,LVA,707.0,LVA,1631.0
Latvia,2017,5.978,10.264,0.895,66.0,0.7,-0.161,0.798,0.565,0.232,LVA,74.6292682926829,LVA,3.42,LVA,712.0,LVA,1704.0
Latvia,2018,5.901,10.311,0.913,66.1,0.608,-0.218,0.799,0.521,0.192,LVA,74.7829268292683,LVA,3.706,LVA,746.0,LVA,1904.0
Latvia,2019,5.97,10.343,0.936,66.2,0.698,-0.2,0.789,0.537,0.212,LVA,75.3878048780488,LVA,3.972,LVA,762.0,LVA,2171.0
Latvia,2020,6.229,10.328,0.928,66.3,0.82,-0.086,0.809,0.674,0.202,LVA,75.1853658536585,LVA,4.737,LVA,759.0,LVA,2382.0
Lithuania,2015,5.711,10.334,0.929,65.3,0.641,-0.259,0.924,0.534,0.276,LTU,74.3219512195122,LTU,4.358,LTU,592.0,LTU,1861.0
Lithuania,2016,5.866,10.371,0.938,65.65,0.614,-0.272,0.949,0.553,0.25,LTU,74.6707317073171,LTU,4.42,LTU,659.0,LTU,2038.0
Lithuania,2017,6.273,10.427,0.926,66.0,0.749,-0.179,0.79,0.59,0.195,LTU,75.4804878048781,LTU,4.275,LTU,697.0,LTU,2161.0
Lithuania,2018,6.309,10.476,0.929,66.35,0.699,-0.243,0.852,0.518,0.214,LTU,75.6804878048781,LTU,4.387,LTU,747.0,LTU,2369.0
Lithuania,2019,6.064,10.524,0.918,66.7,0.78,-0.258,0.783,0.568,0.276,LTU,76.2829268292683,LTU,4.646,LTU,901.0,LTU,2793.0
Lithuania,2020,6.391,10.523,0.953,67.05,0.824,-0.129,0.829,0.626,0.202,LTU,74.9780487804878,LTU,5.287,LTU,862.0,LTU,3006.0
Lithuania,2021,6.865,10.579,0.928,67.4,0.707,-0.121,0.878,0.667,0.191,LTU,74.0365853658537,LTU,5.507,LTU,1035.0,LTU,3432.0
Luxembourg,2015,6.702,11.637,0.934,71.5,0.932,0.044,0.375,0.728,0.193,LUX,82.2926829268293,LUX,4.251,LUX,594.0,LUX,5545.0
Luxembourg,2016,6.967,11.664,0.941,71.525,0.882,0.011,0.356,0.706,0.192,LUX,82.6853658536585,LUX,4.24,LUX,624.0,LUX,5806.0
Luxembourg,2017,7.061,11.653,0.905,71.55,0.903,0.036,0.33,0.726,0.184,LUX,82.0951219512195,LUX,4.311,LUX,636.0,LUX,5962.0
Luxembourg,2018,7.243,11.645,0.902,71.575,0.884,-0.028,0.385,0.715,0.202,LUX,82.2951219512195,LUX,4.421,LUX,648.0,LUX,6212.0
Luxembourg,2019,7.404,11.649,0.912,71.6,0.93,-0.051,0.39,0.742,0.212,LUX,82.6390243902439,LUX,4.603,LUX,633.0,LUX,6604.0
Malta,2015,6.613,10.594,0.919,71.3,0.912,0.339,0.664,0.641,0.355,MLT,81.8975609756097,MLT,5.389,MLT,1255.0,MLT,3373.0
Malta,2016,6.591,10.604,0.93,71.35,0.916,0.339,0.696,0.645,0.355,MLT,82.4536585365854,MLT,5.651,MLT,1264.0,MLT,3599.0
Malta,2017,6.676,10.681,0.937,71.4,0.924,0.244,0.69,0.666,0.302,MLT,82.3463414634146,MLT,5.572,MLT,1360.0,MLT,3861.0
Malta,2018,6.91,10.705,0.932,71.45,0.927,0.17,0.595,0.666,0.296,MLT,82.4487804878049,MLT,5.437,MLT,1364.0,MLT,3976.0
Malta,2019,6.733,10.734,0.922,71.5,0.924,0.077,0.689,0.642,0.356,MLT,82.8585365853659,MLT,5.473,MLT,1570.0,MLT,4599.0
Mexico,2015,6.236,9.88,0.761,65.8,0.719,-0.158,0.708,0.706,0.237,MEX,74.682,MEX,2.987,MEX,435.985576657184,MEX,1062.24538653138
Mexico,2016,6.824,9.895,0.893,65.8,0.752,-0.16,0.809,0.802,0.22,MEX,74.412,MEX,2.848,MEX,450.606621137886,MEX,1089.15254817402
Mexico,2017,6.41,9.905,0.8,65.8,0.861,-0.208,0.801,0.775,0.231,MEX,74.138,MEX,2.758,MEX,456.866656510481,MEX,1093.28675776459
Mexico,2018,6.55,9.917,0.858,65.8,0.816,-0.186,0.809,0.815,0.213,MEX,74.015,MEX,2.672,MEX,465.766847226471,MEX,1100.85913214163
Mexico,2019,6.432,9.907,0.852,65.8,0.903,-0.148,0.809,0.803,0.252,MEX,74.202,MEX,2.678,MEX,465.870290162212,MEX,1101.81204678275
Mexico,2020,5.964,9.816,0.779,65.8,0.873,-0.128,0.778,0.745,0.292,MEX,70.133,MEX,3.302,MEX,446.703723710928,MEX,1152.4465342236
Montenegro,2015,5.125,9.813,0.74,66.6,0.583,-0.15,0.781,0.534,0.337,MNE,76.4487804878049,MNE,5.602,MNE,546.0,MNE,1446.0
Montenegro,2016,5.304,9.842,0.866,66.7,0.569,-0.093,0.849,0.547,0.337,MNE,76.4414634146341,MNE,5.31,MNE,590.0,MNE,1544.0
Montenegro,2017,5.615,9.887,0.881,66.8,0.626,-0.089,0.756,0.493,0.35,MNE,76.4853658536585,MNE,4.591,MNE,652.0,MNE,1546.0
Montenegro,2018,5.65,9.937,0.856,66.9,0.626,-0.057,0.769,0.527,0.355,MNE,76.8414634146342,MNE,5.007,MNE,701.0,MNE,1769.0
Montenegro,2019,5.386,9.977,0.832,67.0,0.694,-0.111,0.82,0.547,0.366,MNE,76.6829268292683,MNE,5.086,MNE,754.0,MNE,1956.0
Netherlands,2015,7.324,10.878,0.879,71.1,0.904,0.256,0.412,0.742,0.202,NLD,81.509756097561,NLD,8.402,NLD,587.0,NLD,5204.0
Netherlands,2016,7.541,10.894,0.926,71.175,0.907,0.233,0.433,0.737,0.215,NLD,81.5609756097561,NLD,8.358,NLD,595.0,NLD,5274.0
Netherlands,2017,7.459,10.917,0.937,71.25,0.92,0.245,0.363,0.729,0.185,NLD,81.7609756097561,NLD,8.257,NLD,617.0,NLD,5585.0
Netherlands,2018,7.463,10.934,0.939,71.325,0.92,0.156,0.371,0.748,0.205,NLD,81.8121951219512,NLD,8.238,NLD,627.0,NLD,5811.0
Netherlands,2019,7.425,10.947,0.941,71.4,0.886,0.207,0.36,0.728,0.231,NLD,82.1121951219512,NLD,8.392,NLD,639.0,NLD,6127.0
Netherlands,2020,7.504,10.902,0.944,71.475,0.935,0.145,0.281,0.691,0.247,NLD,81.3585365853659,NLD,9.472,NLD,624.0,NLD,6718.0
New Zealand,2015,7.418,10.622,0.987,69.9,0.942,0.322,0.186,0.795,0.16,NZL,81.6124390243903,NZL,7.333,NZL,466.916054701162,NZL,3493.66199328289
New Zealand,2016,7.226,10.637,0.937,69.975,0.927,0.259,0.278,0.777,0.207,NZL,81.6585365853659,NZL,7.271,NZL,506.066240930381,NZL,3727.76816062296
New Zealand,2017,7.327,10.65,0.955,70.05,0.942,0.287,0.222,0.763,0.172,NZL,81.8585365853659,NZL,7.047,NZL,521.282677356541,NZL,3839.43309115587
New Zealand,2018,7.37,10.667,0.954,70.125,0.949,0.113,0.207,0.785,0.168,NZL,81.7073170731707,NZL,7.158,NZL,502.465689171846,NZL,3891.08642395332
New Zealand,2019,7.205,10.675,0.939,70.2,0.912,0.15,0.234,0.765,0.191,NZL,82.0560975609756,NZL,7.206,NZL,530.657421824687,NZL,4377.54456741863
New Zealand,2020,7.257,10.647,0.952,70.275,0.918,0.116,0.283,0.796,0.209,NZL,82.2560975609756,NZL,7.785,NZL,525.76496549787,NZL,4606.93994713534
North Macedonia,2015,4.976,9.625,0.766,65.3,0.66,-0.053,0.824,0.551,0.299,MKD,75.4024390243902,MKD,4.163,MKD,296.0,MKD,865.0
North Macedonia,2016,5.346,9.652,0.871,65.5,0.706,0.073,0.87,0.587,0.292,MKD,75.4,MKD,4.119,MKD,335.0,MKD,948.0
North Macedonia,2017,5.234,9.662,0.8,65.7,0.752,-0.065,0.856,0.447,0.299,MKD,75.9536585365854,MKD,3.776,MKD,408.0,MKD,993.0
North Macedonia,2018,5.24,9.689,0.849,65.9,0.745,-0.048,0.91,0.512,0.298,MKD,76.6487804878049,MKD,3.768,MKD,439.0,MKD,1065.0
North Macedonia,2019,5.015,9.728,0.815,66.1,0.725,0.018,0.923,0.515,0.304,MKD,76.6024390243903,MKD,4.267,MKD,489.0,MKD,1250.0
Norway,2015,7.603,11.057,0.947,71.2,0.948,0.249,0.299,0.796,0.209,NOR,82.3048780487805,NOR,8.664,NOR,869.0,NOR,6142.0
Norway,2016,7.596,11.06,0.96,71.25,0.954,0.125,0.41,0.809,0.209,NOR,82.4073170731707,NOR,9.043,NOR,895.0,NOR,6271.0
Norway,2017,7.579,11.076,0.95,71.3,0.953,0.228,0.25,0.8,0.203,NOR,82.609756097561,NOR,8.781,NOR,962.0,NOR,6631.0
Norway,2018,7.444,11.077,0.966,71.35,0.96,0.086,0.268,0.786,0.212,NOR,82.7585365853659,NOR,8.591,NOR,980.0,NOR,7019.0
Norway,2019,7.442,11.082,0.942,71.4,0.954,0.103,0.271,0.782,0.195,NOR,82.9585365853659,NOR,9.042,NOR,1020.0,NOR,7325.0
Norway,2020,7.29,11.063,0.956,71.45,0.965,0.068,0.271,0.777,0.216,NOR,83.209756097561,NOR,9.75,NOR,1028.0,NOR,7457.0
Norway,2021,7.362,11.096,0.948,71.5,0.936,0.166,0.263,0.769,0.207,NOR,83.1634146341463,NOR,8.625,NOR,1146.0,NOR,8275.0
Peru,2015,5.577,9.394,0.798,68.8,0.802,-0.095,0.884,0.744,0.378,PER,75.621,PER,3.033,PER,172.530842620058,PER,576.4149772047
Peru,2016,5.701,9.419,0.803,68.975,0.83,-0.139,0.866,0.791,0.338,PER,75.789,PER,3.067,PER,176.871810250113,PER,602.95697228114
Peru,2017,5.711,9.429,0.83,69.15,0.827,-0.16,0.895,0.768,0.394,PER,75.879,PER,3.058,PER,177.811133382371,PER,620.83336255983
Peru,2018,5.68,9.449,0.845,69.325,0.83,-0.184,0.906,0.783,0.38,PER,76.009,PER,3.197,PER,201.007694882067,PER,683.490719416075
Peru,2019,5.999,9.452,0.809,69.5,0.815,-0.135,0.874,0.794,0.375,PER,76.156,PER,3.281,PER,196.772049393573,PER,699.449536092365
Poland,2015,6.007,10.228,0.893,68.0,0.793,-0.098,0.81,0.631,0.24,POL,77.4512195121951,POL,4.46,POL,396.0,POL,1717.0
Poland,2016,6.162,10.258,0.917,68.175,0.871,-0.096,0.848,0.666,0.224,POL,77.8512195121951,POL,4.53,POL,422.0,POL,1857.0
Poland,2017,6.201,10.308,0.882,68.35,0.831,-0.127,0.639,0.566,0.203,POL,77.7536585365854,POL,4.545,POL,448.0,POL,1972.0
Poland,2018,6.111,10.365,0.863,68.525,0.87,-0.26,0.72,0.622,0.176,POL,77.6024390243903,POL,4.524,POL,413.0,POL,2022.0
Poland,2019,6.242,10.409,0.878,68.7,0.883,-0.237,0.696,0.613,0.168,POL,77.9048780487805,POL,4.627,POL,454.0,POL,2259.0
Poland,2020,6.139,10.39,0.953,68.875,0.767,-0.014,0.787,0.677,0.329,POL,76.5,POL,4.692,POL,448.0,POL,2291.0
Poland,2021,5.978,10.461,0.936,69.05,0.732,0.122,0.744,0.7,0.277,POL,75.5024390243902,POL,4.785,POL,487.0,POL,2456.0
Portugal,2015,5.081,10.346,0.866,70.5,0.8,-0.169,0.941,0.629,0.371,PRT,81.1243902439025,PRT,5.751,PRT,815.0,PRT,2759.0
Portugal,2016,5.447,10.369,0.905,70.625,0.838,-0.231,0.922,0.659,0.326,PRT,81.1243902439025,PRT,5.793,PRT,873.0,PRT,2965.0
Portugal,2017,5.711,10.406,0.9,70.75,0.905,-0.182,0.881,0.608,0.294,PRT,81.4243902439025,PRT,5.698,PRT,912.0,PRT,3072.0
Portugal,2018,5.92,10.435,0.887,70.875,0.877,-0.267,0.88,0.646,0.318,PRT,81.3243902439024,PRT,5.763,PRT,983.0,PRT,3285.0
Portugal,2019,6.095,10.462,0.876,71.0,0.882,-0.24,0.915,0.675,0.3,PRT,81.6756097560976,PRT,5.789,PRT,1087.0,PRT,3552.0
Portugal,2020,5.768,10.374,0.875,71.125,0.913,-0.244,0.867,0.614,0.383,PRT,80.9756097560976,PRT,6.807,PRT,1033.0,PRT,3687.0
Portugal,2021,6.183,10.425,0.895,71.25,0.892,-0.211,0.872,0.629,0.284,PRT,81.3780487804878,PRT,7.171,PRT,1186.0,PRT,4091.0
Romania,2015,5.777,10.083,0.787,66.3,0.796,-0.147,0.962,0.627,0.312,ROU,74.9121951219512,ROU,3.86,ROU,227.0,ROU,1066.0
Romania,2016,5.969,10.117,0.809,66.425,0.822,-0.12,0.949,0.607,0.258,ROU,75.209756097561,ROU,3.919,ROU,251.0,ROU,1211.0
Romania,2017,6.09,10.201,0.811,66.55,0.839,-0.165,0.926,0.632,0.231,ROU,75.209756097561,ROU,4.051,ROU,286.0,ROU,1394.0
Romania,2018,6.151,10.266,0.818,66.675,0.845,-0.224,0.921,0.649,0.298,ROU,75.3585365853659,ROU,4.433,ROU,316.0,ROU,1627.0
Romania,2019,6.13,10.309,0.842,66.8,0.848,-0.228,0.954,0.605,0.244,ROU,75.6073170731707,ROU,4.618,ROU,356.0,ROU,1885.0
Romania,2020,6.785,10.277,0.869,66.925,0.863,-0.161,0.918,0.668,0.256,ROU,74.2536585365854,ROU,5.035,ROU,394.0,ROU,2069.0
Serbia,2015,5.318,9.654,0.816,66.4,0.546,-0.068,0.859,0.472,0.303,SRB,75.2878048780488,SRB,5.114,SRB,532.574985594556,SRB,1312.15749798928
Serbia,2016,5.753,9.692,0.895,66.525,0.614,-0.074,0.89,0.492,0.298,SRB,75.6878048780488,SRB,4.903,SRB,541.267423264056,SRB,1337.99331142096
Serbia,2017,5.122,9.718,0.884,66.65,0.685,-0.084,0.851,0.485,0.326,SRB,75.5390243902439,SRB,4.736,SRB,553.397376506768,SRB,1361.72801285892
Serbia,2018,5.936,9.767,0.853,66.775,0.74,-0.106,0.864,0.527,0.296,SRB,75.890243902439,SRB,5.12,SRB,577.565851073118,SRB,1507.57476142877
Serbia,2019,6.241,9.815,0.903,66.9,0.753,-0.046,0.813,0.474,0.242,SRB,75.9365853658537,SRB,5.315,SRB,621.108702670296,SRB,1677.05964427825
Slovenia,2015,5.741,10.428,0.901,70.0,0.896,0.002,0.892,0.644,0.261,SVN,80.7756097560976,SVN,6.116,SVN,336.0,SVN,2689.0
Slovenia,2016,5.937,10.459,0.934,70.175,0.904,-0.06,0.838,0.597,0.272,SVN,81.1756097560976,SVN,6.166,SVN,345.0,SVN,2873.0
Slovenia,2017,6.167,10.505,0.928,70.35,0.921,-0.031,0.829,0.582,0.286,SVN,81.0292682926829,SVN,5.909,SVN,368.0,SVN,2989.0
Slovenia,2018,6.249,10.545,0.941,70.525,0.942,-0.125,0.839,0.601,0.275,SVN,81.3780487804878,SVN,6.029,SVN,388.0,SVN,3237.0
Slovenia,2019,6.665,10.572,0.949,70.7,0.945,-0.108,0.785,0.622,0.228,SVN,81.5292682926829,SVN,6.204,SVN,419.0,SVN,3590.0
Slovenia,2020,6.462,10.521,0.953,70.875,0.958,-0.09,0.797,0.575,0.314,SVN,80.5317073170732,SVN,6.892,SVN,482.0,SVN,3867.0
South Africa,2015,4.887,9.539,0.898,54.1,0.862,-0.138,0.853,0.717,0.161,ZAF,63.95,ZAF,4.097,ZAF,62.7414750923685,ZAF,1093.74465696005
South Africa,2016,4.77,9.536,0.875,54.625,0.774,-0.082,0.813,0.743,0.301,ZAF,64.747,ZAF,4.096,ZAF,64.0221824470281,ZAF,1106.59452129185
South Africa,2017,4.514,9.543,0.87,55.15,0.787,-0.141,0.865,0.709,0.268,ZAF,65.402,ZAF,4.087,ZAF,64.9304533701003,ZAF,1112.84356887396
South Africa,2018,4.884,9.546,0.841,55.675,0.753,-0.063,0.841,0.736,0.283,ZAF,65.674,ZAF,4.163,ZAF,67.617624773262,ZAF,1158.59853236421
South Africa,2019,5.035,9.536,0.848,56.2,0.738,-0.147,0.82,0.727,0.268,ZAF,66.175,ZAF,4.39,ZAF,68.1779537890927,ZAF,1190.19975327386
South Korea,2015,5.78,10.567,0.768,72.0,0.616,-0.041,0.841,0.561,0.244,KOR,82.0243902439024,KOR,3.919,KOR,861.160171009026,KOR,2498.49404487608
South Korea,2016,5.971,10.592,0.811,72.275,0.591,0.02,0.862,0.583,0.233,KOR,82.2756097560976,KOR,4.082,KOR,924.286774930985,KOR,2714.146363563
South Korea,2017,5.874,10.62,0.807,72.55,0.538,0.008,0.851,0.546,0.235,KOR,82.6268292682927,KOR,4.223,KOR,962.426973296521,KOR,2878.05275752719
South Korea,2018,5.84,10.645,0.798,72.825,0.6,-0.095,0.797,0.579,0.217,KOR,82.6268292682927,KOR,4.517,KOR,1063.95474658102,KOR,3218.80258739182
South Korea,2019,5.903,10.663,0.783,73.1,0.706,-0.061,0.718,0.593,0.236,KOR,83.2268292682927,KOR,4.964,KOR,1120.944047289,KOR,3546.0311559389
South Korea,2020,5.793,10.655,0.808,73.375,0.711,-0.112,0.665,0.55,0.247,KOR,83.4268292682927,KOR,5.234,KOR,1081.60749414678,KOR,3731.29981009789
South Korea,2021,6.113,10.697,0.811,73.65,0.717,-0.033,0.685,0.566,0.221,KOR,83.5268292682927,KOR,5.685,KOR,1270.73140570755,KOR,4366.95125416775
Spain,2015,6.381,10.529,0.956,71.6,0.732,-0.078,0.822,0.705,0.285,ESP,82.8317073170732,ESP,6.509,ESP,710.17720328758,ESP,3185.0479294587
Spain,2016,6.319,10.558,0.942,71.725,0.768,-0.054,0.819,0.63,0.301,ESP,83.3292682926829,ESP,6.405,ESP,733.675427773986,ESP,3340.99644645885
Spain,2017,6.23,10.585,0.903,71.85,0.756,-0.038,0.791,0.601,0.302,ESP,83.2829268292683,ESP,6.31,ESP,788.093588013558,ESP,3542.68842892349
Spain,2018,6.513,10.604,0.91,71.975,0.722,-0.081,0.777,0.636,0.357,ESP,83.4317073170732,ESP,6.321,ESP,817.296482692887,ESP,3674.16293211054
Spain,2019,6.457,10.616,0.949,72.1,0.778,-0.054,0.73,0.636,0.316,ESP,83.8317073170732,ESP,6.454,ESP,864.36303186778,ESP,3959.18583587932
Spain,2020,6.502,10.491,0.935,72.225,0.783,-0.127,0.73,0.671,0.317,ESP,82.3317073170732,ESP,7.849,ESP,805.812993407878,ESP,4084.51946612834
Sweden,2015,7.289,10.838,0.929,71.4,0.935,0.206,0.232,0.766,0.191,SWE,82.2048780487805,SWE,9.071,SWE,795.0,SWE,5333.0
Sweden,2016,7.369,10.846,0.912,71.525,0.918,0.141,0.246,0.752,0.201,SWE,82.3073170731707,SWE,9.144,SWE,799.0,SWE,5513.0
Sweden,2017,7.287,10.858,0.914,71.65,0.935,0.165,0.239,0.756,0.175,SWE,82.409756097561,SWE,9.136,SWE,794.0,SWE,5638.0
Sweden,2018,7.375,10.866,0.931,71.775,0.942,0.072,0.263,0.747,0.161,SWE,82.5585365853659,SWE,9.276,SWE,822.0,SWE,5888.0
Sweden,2019,7.398,10.875,0.934,71.9,0.942,0.085,0.25,0.775,0.202,SWE,83.109756097561,SWE,9.221,SWE,842.0,SWE,6139.0
Sweden,2020,7.314,10.846,0.936,72.025,0.951,0.084,0.203,0.717,0.222,SWE,82.3560975609756,SWE,9.877,SWE,818.0,SWE,6378.0
Sweden,2021,7.439,10.893,0.932,72.15,0.953,0.172,0.191,0.763,0.19,SWE,83.0560975609756,SWE,9.787,SWE,888.0,SWE,6784.0
Switzerland,2015,7.572,11.116,0.938,71.7,0.928,0.102,0.21,0.794,0.166,CHE,82.8975609756098,CHE,7.291,CHE,1671.70289215031,CHE,7073.03928953074
Switzerland,2016,7.459,11.126,0.928,71.9,0.934,0.081,0.302,0.758,0.206,CHE,83.6024390243903,CHE,7.398,CHE,1708.67228346026,CHE,7442.94721005844
Switzerland,2017,7.474,11.13,0.95,72.1,0.925,0.173,0.316,0.734,0.196,CHE,83.5512195121951,CHE,7.563,CHE,1745.93829113069,CHE,7560.96969305991
Switzerland,2018,7.509,11.151,0.93,72.3,0.926,0.094,0.301,0.756,0.192,CHE,83.7536585365854,CHE,7.331,CHE,1783.08531820805,CHE,7641.88940605372
Switzerland,2019,7.694,11.155,0.949,72.5,0.913,0.029,0.294,0.743,0.171,CHE,83.9048780487805,CHE,7.536,CHE,1887.66841386981,CHE,8068.70041611335
Switzerland,2020,7.508,11.124,0.946,72.7,0.917,-0.073,0.28,0.73,0.193,CHE,83.0,CHE,8.221,CHE,1887.47581634495,CHE,8337.79285001035
United Kingdom,2015,6.515,10.707,0.936,69.7,0.833,0.294,0.456,0.74,0.219,GBR,80.9560975609756,GBR,7.779,GBR,609.193678465455,GBR,4190.53565364736
United Kingdom,2016,6.824,10.721,0.954,69.8,0.821,0.244,0.458,0.732,0.23,GBR,81.1560975609756,GBR,7.772,GBR,625.229628709353,GBR,4320.89364463518
United Kingdom,2017,7.103,10.739,0.937,69.9,0.813,0.285,0.419,0.712,0.21,GBR,81.2560975609756,GBR,7.631,GBR,652.205881459843,GBR,4438.51618665048
United Kingdom,2018,7.233,10.75,0.928,70.0,0.838,0.22,0.404,0.736,0.228,GBR,81.2560975609756,GBR,7.658,GBR,713.733267275547,GBR,4606.09482415547
United Kingdom,2019,7.157,10.76,0.943,70.1,0.854,0.264,0.485,0.739,0.251,GBR,81.4048780487805,GBR,7.836,GBR,771.141556013854,GBR,4921.8931313963
United Kingdom,2020,6.798,10.639,0.929,70.2,0.885,0.196,0.49,0.717,0.225,GBR,80.3512195121951,GBR,9.923,GBR,711.195620882341,GBR,5581.50920369987
United Kingdom,2021,6.867,10.713,0.854,70.3,0.815,0.252,0.448,0.684,0.266,GBR,80.7,GBR,9.898,GBR,780.946558781181,GBR,6159.79634020859
United States,2015,6.864,10.975,0.904,66.6,0.849,0.213,0.698,0.769,0.275,USA,78.690243902439,USA,13.664,USA,1089.0186523285,USA,9248.93430579905
United States,2016,6.804,10.985,0.897,66.475,0.758,0.138,0.739,0.737,0.264,USA,78.5390243902439,USA,13.912,USA,1118.35096227621,USA,9599.8910461831
United States,2017,6.992,11.001,0.921,66.35,0.868,0.191,0.681,0.755,0.268,USA,78.5390243902439,USA,13.89,USA,1130.6866455728,USA,9902.81865605884
United States,2018,6.883,11.024,0.904,66.225,0.825,0.11,0.71,0.757,0.292,USA,78.6390243902439,USA,13.796,USA,1164.6019319085,USA,10280.5266287718
United States,2019,6.944,11.042,0.917,66.1,0.836,0.138,0.707,0.755,0.244,USA,78.7878048780488,USA,13.813,USA,1205.28419713374,USA,10658.3976786972
United States,2020,7.028,11.005,0.937,65.975,0.85,0.028,0.678,0.722,0.295,USA,76.9804878048781,USA,15.949,USA,1167.7345626147,USA,11758.4246948745
